Judul,Tanggal,Link
Infografik: Daftar Program Studi UNAIR di Kampus C,14/01/2021,https://www.unair.ac.id/daftar-program-studi-unair-di-kampus-c/
Infografik: Program Studi UNAIR di Kampus B,13/01/2021,https://www.unair.ac.id/daftar-program-studi-unair-di-kampus-a-2/
Infografik: Program Studi UNAIR di Kampus A,12/01/2021,https://www.unair.ac.id/daftar-program-studi-unair-di-kampus-a/
Infografik: Batas Wajar Adopsi Boneka Arwah,10/01/2022,https://www.unair.ac.id/infografik-batas-wajar-adopsi-boneka-arwah/
Infografik: UNAIR Kukuhkan Guru Besar Periode 15 Desember 2021,15/12/2021,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-15-desember-2021/
Infografik: UNAIR Kukuhkan Guru Besar Periode 8 Desember 2021,10/12/2021,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-8-desember-2021/
"Infografik: Guru Besar Prof. Nurul Barizah, S.H., LLM., PhD",10/12/2021,https://www.unair.ac.id/infografik-guru-besar-prof-nurul-barizah-s-h-llm-phd/
Infografik: UNAIR Anugerahi Ignasius Jonan Honoris Causa,09/12/2021,https://www.unair.ac.id/infografik-unair-anugerahi-ignasius-jonan-honoris-causa/
"Infografik: Guru Besar Prof. Dr. dr. Yudi Her Oktaviono, Sp.jP(K)",08/12/2021,https://www.unair.ac.id/infografik-guru-besar-prof-dr-dr-yudi-her-oktaviono-sp-jpk/
"Infografik: Guru Besar Prof. Dr. Retno Sari, M.Sc., Apt",07/12/2021,https://www.unair.ac.id/infografik-guru-besar-prof-dr-retno-sari-m-sc-apt/
Infografik: Tips Tetap Sehat di Musim,07/12/2021,https://www.unair.ac.id/infografik-tips-tetap-sehat-di-musim/
Infografik: Wisudawan Berprestasi Periode September 2021,30/09/2021,https://www.unair.ac.id/infografik-wisudawan-berprestasi-periode-september-2021/
Infografik: Wisudawan Terbaik September 2021 UNAIR,28/09/2021,https://www.unair.ac.id/infografik-wisudawan-terbaik-september-2021-unair/
Infografik: Financial Goal dengan Planning Tepat,09/09/2021,https://www.unair.ac.id/infografik-financial-goal-dengan-planning-tepat/
"Infografik: Dr. Agung Sosiawan, drg., M.Kes.",08/09/2021,https://www.unair.ac.id/infografik-dr-agung-sosiawan-drg-m-kes/
Infografik: UNAIR Masuk Grup Rangking 4 THE,06/09/2021,https://www.unair.ac.id/infografik-unair-masuk-grup-rangking-4-the/
"Infografik: “Kampus Kita”, Aplikasi UNAIR untuk Civitas",06/09/2021,https://www.unair.ac.id/infografik-kampus-kita-aplikasi-unair-untuk-civitas/
Infografik: Tips Proporsi Keuangan Usia Produktif,03/09/2021,https://www.unair.ac.id/infografik-tips-proporsi-keuangan-usia-produktif/
Infografik: Inovasi Hand Sanitizer Lendir Bekicot,03/09/2021,https://www.unair.ac.id/infografik-inovasi-hand-sanitizer-lendir-bekicot/
Infografik: 4 Ciri Pembelajar Menurut Rektor UNAIR,02/09/2021,https://www.unair.ac.id/infografik-4-ciri-pembelajar-menurut-rektor-unair/
Infografik: Tips Jaga Kesehatan Gigi Anak Difabel,01/09/2021,https://www.unair.ac.id/infografik-tips-jaga-kesehatan-gigi-anak-difabel/
Infografik: 15 Produk Inovasi Covid-19 UNAIR,31/08/2021,https://www.unair.ac.id/14-produk/
Infografik: Kenali Stres pada Remaja,30/08/2021,https://www.unair.ac.id/kenali-stres/
Infografik: Akomodasi Keringanan UKT Mahasiswa,27/08/2021,https://www.unair.ac.id/infografik-akomodasi-keringanan-ukt-mahasiswa/
Infografik: 4 Medali dari KN MIPA 2021,26/08/2021,https://www.unair.ac.id/infografik-4-medali-dari-kn-mipa-2021/
Infografik: Jeli untuk Sembuhkan Diare Anak,20/08/2021,https://www.unair.ac.id/infografik-jeli-untuk-sembuhkan-diare-anak/
"Infografik: Prof. Junaidi Khotib, S.Si, Apt., M.Kes., Ph.D",18/08/2021,https://www.unair.ac.id/infografik-prof-junaidi-khotib-s-si-apt-m-kes-ph-d/
Infografik: Madu Hitam Cepat Sembuhkan Luka,14/06/2021,https://www.unair.ac.id/madu-hitam-cepat-sembuhkan-luka/
Infografik: Toga Zingiberaceae Berpotensi Jadi Obat Anti-HIV,11/06/2021,https://www.unair.ac.id/toga-zingiberaceae-berpotensi-jadi-obat-anti-hiv/
Infografik: Inovasi Aplikasi Karya BEM Universitas Airlangga,10/06/2021,https://www.unair.ac.id/inovasi-aplikasi-karya-bem-universitas-airlangga/
Infografik: Peringkat Dunia UNAIR Melompat ke 465,09/06/2021,https://www.unair.ac.id/peringkat-dunia-unair-melompat-ke-465/
"Profil: Dr. Muhammad Madyan, SE., M.Si., M.Fin.",08/06/2021,https://www.unair.ac.id/profil-dr-muhammad-madyan-se-m-si-m-fin/
"Profil: Prof. Dr. Bambang Sektiari Lukiswanto, DEA, DVM",11/04/2021,https://www.unair.ac.id/profil-prof-dr-bambang-sektiari-lukiswanto-dea-dvm/
Ghosting Menurut Pakar UNAIR,11/04/2021,https://www.unair.ac.id/ghosting-menurut-pakar-unair/
Tips Investasi Saham bagi Pemula,11/04/2021,https://www.unair.ac.id/tips-investasi-saham-bagi-pemula/
SMART University Ala Universitas Airlangga,11/04/2021,https://www.unair.ac.id/smart-university-ala-universitas-airlangga/
Ghosting Menurut Pakar UNAIR,17/03/2021,https://www.unair.ac.id/ghosting-menurut-pakar-unair-2/
Infografik: SMART University Ala Universitas Airlangga,01/03/2021,https://www.unair.ac.id/smart-university-ala-universitas-airlangga-2/
Profil Alumni: Audrey Maximillian,11/02/2021,https://www.unair.ac.id/profil-alumni-audrey-maximillian/
